Altium Designer Pick and Place Locations
E:\Dropbox\_PRACA\HARDWARE\IE-TRACK-KIT-PWR-1\HW\MAIN\__PRODUCTION\Pick Place\ie-track-kit-arduino-1_v11.txt

========================================================================================================================
File Design Information:

Date:       27.09.18
Time:       13:54
Revision:   65bb4239a38ed4aebe5560835478a3aa34205647
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                                 
S5         JS202011SCQN              TopLayer    JS202011SCQN                      1385.827      -102.362      180      "C&K JS202011SCQN DPDT Switch"                                                              
T5         *                         TopLayer    Keystone_5003_ORANGE              2929.134      -3779.528     0        "Keystone 5003 Test Point (ORANGE)"                                                         
T2         *                         TopLayer    Keystone_5003_ORANGE              -1094.488     -3425.197     180      "Keystone 5003 Test Point (ORANGE)"                                                         
T6         *                         TopLayer    Keystone_5001_BLACK               2751.965      -3779.524     0        "Keystone 5001 Test Point (BLACK)"                                                          
T3         *                         TopLayer    Keystone_5001_BLACK               -1094.488     -3539.370     180      "Keystone 5001 Test Point (BLACK)"                                                          
T4         *                         TopLayer    Keystone_5000_RED                 2563.383      -3779.524     0        "Keystone 5000 Test Point (RED)"                                                            
T1         *                         TopLayer    Keystone_5000_RED                 -1094.485     -3653.546     180      "Keystone 5000 Test Point (RED)"                                                            
M3         *                         TopLayer    HC-SR04                           984.252       -6712.598     180      ""                                                                                          
P1         10k                       TopLayer    RK09K113004U                      2857.480      -4078.740     90       RK09K113004U                                                                                
CN6        CN_6x1                    TopLayer    GP_6X1                            831.102       -2972.441     180      ""                                                                                          
CN9        CN_8x1                    TopLayer    GP_8X1                            932.087       -704.724      360      ""                                                                                          
CN11       CN_10x1                   TopLayer    GP_10x1                           1892.087      -704.724      360      ""                                                                                          
M2         "Arduino UNO Rev3"        TopLayer    ARDUINO_UNO_UPSIDE_DOWN           1504.587      -1837.402     180      "Arduino UNO Rev3 Board"                                                                    
CN14       CN_5x1                    TopLayer    GP_5x1H_F                         2756.299      -825.984      0        ""                                                                                          
R72        47k                       TopLayer    R0805                             2563.386      -3389.764     90       Resistor                                                                                    
R59        47k                       TopLayer    R0805                             -547.244      -4019.685     270      Resistor                                                                                    
R114       220R                      TopLayer    R0805                             1726.723      143.384       360      Resistor                                                                                    
D37        GREEN                     TopLayer    LED0805G                          1767.716      -106.299      270      "GREEN LED"                                                                                 
R82        100k                      BottomLayer R0805                             -311.024      -6889.764     90       Resistor                                                                                    
R81        0R                        BottomLayer R0805                             -385.827      -6889.764     90       Resistor                                                                                    
R76        470k                      TopLayer    R0805                             2637.795      -3389.134     90       Resistor                                                                                    
R73        100k                      BottomLayer R0805                             -480.098      1011.811      0        Resistor                                                                                    
R68        0R                        BottomLayer R0805                             -622.047      1011.811      360      Resistor                                                                                    
R64        470k                      TopLayer    R0805                             -625.984      -4019.685     270      Resistor                                                                                    
R60        100k                      BottomLayer R0805                             2129.921      649.606       270      Resistor                                                                                    
R55        0R                        BottomLayer R0805                             2200.787      649.606       90       Resistor                                                                                    
R102       10k                       TopLayer    R0805                             2456.693      -6204.725     90       Resistor                                                                                    
R103       10k                       TopLayer    R0805                             2500.000      -5972.441     180      Resistor                                                                                    
R100       10k                       TopLayer    R0805                             2716.535      -6204.725     90       Resistor                                                                                    
R101       10k                       TopLayer    R0805                             2791.339      -5972.441     180      Resistor                                                                                    
R98        10k                       TopLayer    R0805                             2842.520      -6204.725     90       Resistor                                                                                    
R99        10k                       TopLayer    R0805                             2937.008      -5972.441     180      Resistor                                                                                    
Q25        BSS138                    TopLayer    SOT-23                            2519.685      -6098.425     180      "N-Channel Enhancement Mode Vertical DMOS FET"                                              
Q24        BSS138                    TopLayer    SOT-23                            2779.528      -6098.425     180      "N-Channel Enhancement Mode Vertical DMOS FET"                                              
Q23        BSS138                    TopLayer    SOT-23                            2909.449      -6098.425     180      "N-Channel Enhancement Mode Vertical DMOS FET"                                              
U15        MCP3425A0T-ECH            TopLayer    SOT-23-6                          -196.850      -590.551      270      "16-Bit Analog-to-Digital Converter with I2C Interface and On-Board Reference"              
U14        MCP6001T-I/OT             TopLayer    SOT-23-5                          59.055        -590.551      90       "Rail-to-rail, 1MHz, 100uA Op Amp"                                                          
R96        "36k 1%"                  TopLayer    R0805                             15.748        -440.945      90       Resistor                                                                                    
R95        "39k 1%"                  TopLayer    R0805                             98.425        -440.945      270      Resistor                                                                                    
C35        100nF                     TopLayer    C0805                             -82.677       -440.945      90       Capacitor                                                                                   
C33        100nF                     TopLayer    C0805                             -68.543       -590.551      90       Capacitor                                                                                   
U13        MCP23008-E/SO             TopLayer    SO18W                             2736.220      -4715.355     90       "8-Bit I/O Expander with Serial Interface I2C, 18-Pin SOIC Package"                         
R94        *                         TopLayer    RPack_0603x4_1206                 1994.020      -3925.197     270      "Isolated Resistor Network - Parts"                                                         
R93        *                         TopLayer    RPack_0603x4_1206                 1994.020      -3694.882     270      "Isolated Resistor Network - Parts"                                                         
R88        10k                       TopLayer    R0805                             3039.370      -4691.338     90       Resistor                                                                                    
D31        RED                       TopLayer    LED0805R                          2133.858      -4285.433     180      "RED LED"                                                                                   
D30        RED                       TopLayer    LED0805R                          2133.858      -4149.606     180      "RED LED"                                                                                   
D29        RED                       TopLayer    LED0805R                          2133.858      -4013.780     180      "RED LED"                                                                                   
D28        RED                       TopLayer    LED0805R                          2134.488      -3877.953     180      "RED LED"                                                                                   
D27        RED                       TopLayer    LED0805R                          2133.858      -3742.126     180      "RED LED"                                                                                   
D26        RED                       TopLayer    LED0805R                          2133.858      -3606.913     180      "RED LED"                                                                                   
D25        RED                       TopLayer    LED0805R                          2133.858      -3470.473     180      "RED LED"                                                                                   
D24        RED                       TopLayer    LED0805R                          2133.858      -3334.646     180      "RED LED"                                                                                   
C30        *                         TopLayer    C0805                             3039.370      -5433.701     90       Capacitor                                                                                   
R92        =Value                    TopLayer    R0805                             1414.927      -5767.717     180      Resistor                                                                                    
R91        =Value                    TopLayer    R0805                             1696.850      -4590.551     360      Resistor                                                                                    
C32        10nF                      TopLayer    C0805                             1415.512      -5842.520     180      Capacitor                                                                                   
C31        10nF                      TopLayer    C0805                             1696.850      -4740.158     360      Capacitor                                                                                   
C28        10nF                      TopLayer    C0805                             1696.850      -4814.961     180      Capacitor                                                                                   
U12        MCP23008-E/SO             TopLayer    SO18W                             2736.220      -5314.173     90       "8-Bit I/O Expander with Serial Interface I2C, 18-Pin SOIC Package"                         
R87        10k                       TopLayer    R0805                             3039.370      -5285.473     90       Resistor                                                                                    
C29        *                         TopLayer    C0805                             3039.370      -4837.008     90       Capacitor                                                                                   
R75        1k                        TopLayer    R0805                             2662.205      -3618.110     270      Resistor                                                                                    
R69        1k                        TopLayer    R0805                             2586.614      -3618.110     90       Resistor                                                                                    
R61        1k                        TopLayer    R0805                             -838.581      -3807.087     180      Resistor                                                                                    
R56        1k                        TopLayer    R0805                             -693.787      -3807.087     180      Resistor                                                                                    
U10        LM393DT                   TopLayer    SO8                               2783.465      -3311.024     180      "Low power dual voltage comparators"                                                        
U8         LM393DT                   TopLayer    SO8                               -768.787      -4027.559     360      "Low power dual voltage comparators"                                                        
R71        820R                      TopLayer    R0805                             3000.000      -3618.110     270      Resistor                                                                                    
R70        *                         TopLayer    3305SMD                           2783.465      -3611.220     360      3305SMD-10K                                                                                 
R58        820R                      TopLayer    R0805                             -984.252      -3641.732     90       Resistor                                                                                    
R57        *                         TopLayer    3305SMD                           -763.779      -3644.040     180      3305SMD-10K                                                                                 
D21        RED                       TopLayer    LED0805R                          2917.323      -3618.110     90       "RED LED"                                                                                   
D18        RED                       TopLayer    LED0805R                          -901.575      -3641.732     270      "RED LED"                                                                                   
C25        100nF                     TopLayer    C0805                             2925.197      -3249.409     90       Capacitor                                                                                   
C23        100nF                     TopLayer    C0805                             -913.386      -4031.496     270      Capacitor                                                                                   
SW5        DTSM-25Y                  TopLayer    DTSM-25Y                          1500.000      -6151.575     180      "DIPTRONICS Yellow 12x12mm SMD Tactile SPST-NO Switch"                                      
SW4        DTSM-25Y                  TopLayer    DTSM-25Y                          1500.000      -4045.276     180      "DIPTRONICS Yellow 12x12mm SMD Tactile SPST-NO Switch"                                      
C9         *                         TopLayer    C0805                             -929.134      -6534.803     90       Capacitor                                                                                   
R113       1k                        BottomLayer R0805                             -196.850      507.873       90       Resistor                                                                                    
R112       1k                        BottomLayer R0805                             -102.362      507.874       90       Resistor                                                                                    
R111       150R                      BottomLayer R0805                             -311.024      283.701       90       Resistor                                                                                    
R110       220R                      BottomLayer R0805                             -311.024      62.992        90       Resistor                                                                                    
D36        LED_YELLOW                TopLayer    LED0805Y                          -196.850      283.465       270      "YELLOW LED"                                                                                
D35        GREEN                     TopLayer    LED0805G                          -196.850      59.055        270      "GREEN LED"                                                                                 
D34        RED                       TopLayer    LED0805R                          -196.850      507.874       270      "RED LED"                                                                                   
D33        RED                       TopLayer    LED0805R                          -102.362      507.874       270      "RED LED"                                                                                   
CN18       CN_4x2                    TopLayer    GP_4x2                            -550.787      510.827       360      ""                                                                                          
CN16       CN_4x2                    TopLayer    GP_4x2                            -550.787      60.827        360      ""                                                                                          
Q27        BC847BPN                  TopLayer    SOT-323-6_(SOT-363,_SC88,_SC70-6) 1751.968      484.252       180      "PNP/NPN General Purpose Transistor (VCE=45V, IC=100mA)"                                    
SW1        DTSM-65R                  TopLayer    DTSM-65R                          535.433       -106.299      270      "DIPTRONICS Red 6x6mm SMD Tactile SPST-NO Switch"                                           
U11        LM393DT                   BottomLayer SO8                               -94.488       -6854.961     270      "Low power dual voltage comparators"                                                        
U9         LM393DT                   TopLayer    SO8                               -133.858      893.701       180      "Low power dual voltage comparators"                                                        
U7         LM393DT                   TopLayer    SO8                               2102.362      893.701       360      "Low power dual voltage comparators"                                                        
R77        820R                      TopLayer    R0805                             303.150       -7027.559     270      Resistor                                                                                    
R80        5k6                       BottomLayer R0805                             -117.913      -7003.937     180      Resistor                                                                                    
R79        100R                      BottomLayer R0805                             114.803       -7003.937     360      Resistor                                                                                    
R78        *                         TopLayer    3305SMD                           440.945       -6745.079     360      3305SMD-10K                                                                                 
R63        820R                      TopLayer    R0805                             90.551        980.315       270      Resistor                                                                                    
R67        5k6                       BottomLayer R0805                             -862.205      735.591       90       Resistor                                                                                    
R66        100R                      BottomLayer R0805                             -711.417      735.591       90       Resistor                                                                                    
R65        *                         TopLayer    3305SMD                           -332.740      891.496       360      3305SMD-10K                                                                                 
