Altium Designer Pick and Place Locations
E:\Dropbox\_PRACA\HARDWARE\TamiyaTankBot_TTB\HW\POWER\__PRODUCTION\Pick Place\ie-track-kit-pwr-1, v1.2.txt

========================================================================================================================
File Design Information:

Date:       07.03.18
Time:       18:14
Revision:   cf09c667d37fff3d79ee7da2ca5c0973726a2865
Variant:    No variations
Units used: mil

Designator Comment                                 Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                           
R11        0R                                      TopLayer    R0805                             1814.961      -4106.299     360      Resistor                                                              
Q4         BC847B                                  TopLayer    SOT-23                            1913.386      -4039.370     180      "NPN General Purpose Transistor (VCE=45V, IC=100mA, HFE=200-450)"     
Q3         BC847B                                  TopLayer    SOT-23                            1913.386      -3862.205     180      "NPN General Purpose Transistor (VCE=45V, IC=100mA, HFE=200-450)"     
2          "Keystone 5000 Test Point (RED)"        BottomLayer Keystone_5000_RED                 1259.839      -1874.013     270      "Keystone 5000 Test Point (RED)"                                      
R21        1k                                      TopLayer    R0805                             1811.024      -3208.661     270      Resistor                                                              
D4         RED                                     TopLayer    LED0805R                          1811.024      -3022.992     270      "RED LED"                                                             
C3         220nF                                   TopLayer    C0805                             1584.646      -3887.795     90       Capacitor                                                             
BT1        "18650 (2x KEYSTONE 54 Holder) Battery" TopLayer    KEYSTONE_54_W_18650               228.346       -1949.606     90       "18650 (2x KEYSTONE 54 Holder) Battery"                               
R9         100k                                    TopLayer    R0805                             2047.244      -4110.236     360      Resistor                                                              
R8         560k                                    TopLayer    R0805                             2047.244      -3885.827     360      Resistor                                                              
R10        470                                     BottomLayer R0805                             393.701       -1940.945     360      Resistor                                                              
R7         4k7                                     TopLayer    R0805                             2047.244      -3960.630     180      Resistor                                                              
Q2         IRLML6402                               TopLayer    SOT-23                            1653.543      -4196.850     270      "P-Channel; -20V, -3.7A, 1.3W; HEXFET Power MOS-FET"                  
D1         RED                                     BottomLayer LED0805R                          393.701       -2051.181     180      "RED LED"                                                             
C5         1u/25V                                  TopLayer    C0805                             2047.244      -3806.102     180      Capacitor                                                             
C4         22u/10V                                 TopLayer    C0805                             2047.874      -4035.433     360      Capacitor                                                             
BT3        "18650 (2x KEYSTONE 54 Holder) Battery" TopLayer    KEYSTONE_54_W_18650               980.315       -1949.606     270      "18650 (2x KEYSTONE 54 Holder) Battery"                               
GND1       "Keystone 5001 Test Point (BLACK)"      BottomLayer Keystone_5001_BLACK               610.236       -1874.016     270      "Keystone 5001 Test Point (BLACK)"                                    
3          "Keystone 5000 Test Point (RED)"        BottomLayer Keystone_5000_RED                 1043.307      -1874.016     270      "Keystone 5000 Test Point (RED)"                                      
1          "Keystone 5000 Test Point (RED)"        BottomLayer Keystone_5000_RED                 826.769       -1874.013     270      "Keystone 5000 Test Point (RED)"                                      
R16        "0R 1%"                                 TopLayer    R0805                             1665.354      -2456.693     90       Resistor                                                              
P1         10k                                     TopLayer    3364W                             1664.291      -2456.693     90       3364W-1-103E                                                          
CN1        QTR-8RC_DIRECT                          TopLayer    QTR-8RC_SNAPPED_GOLDPIN_VERTICAL  713.580       -1543.307     360      "QTR-8RC Reflectance Sensor Array (Pololu item No. 961)"              
D9         KA-2810ASURSK                           TopLayer    LED2810                           78.740        -6370.079     180      KA-2810ASURSK                                                         
D8         KA-2810ASURSK                           TopLayer    LED2810                           1889.764      -6370.079     180      KA-2810ASURSK                                                         
R31        10R                                     TopLayer    R0805                             641.732       -3570.866     90       Resistor                                                              
R20        1k                                      BottomLayer R0805                             1259.842      -1968.504     360      Resistor                                                              
D6         GREEN                                   BottomLayer LED0805G                          1043.307      -2051.181     180      "GREEN LED"                                                           
Q7         AO6401A                                 TopLayer    SOT-23-6                          1604.331      -1003.937     180      "P-Channel MOSFET; -60V, -5A, 1.3W;"                                  
Q18        BC857BS                                 TopLayer    SOT-323-6_(SOT-363,_SC88,_SC70-6) 1610.236      -476.378      90       "2xPNP General Purpose Transistor (VCE=-45V, IC=-100mA)"              
Q16        BC857BS                                 TopLayer    SOT-323-6_(SOT-363,_SC88,_SC70-6) 1570.866      -582.677      270      "2xPNP General Purpose Transistor (VCE=-45V, IC=-100mA)"              
